MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
"Radio Jigawa 93.5 FM, Andarza",Radio,1514801,NORTH WEST,Jigawa,Jigawa,100%,,,,60%,40%,,13%,8%,31%,41%,7%,,7%,4%,7%,58%,24%,,76%,20%,4%,,39%,43%,11%,7%,,55%,21%,13%,7%,4%,0%,0%,,4%,96%,0%,,17%,31%,27%,24%,1%,,News,52%,Educational,27%,,06:00 - 09:00 pm,30%,09:00 - 12:00 noon,26%
"Freedom 99.5 FM, Dutse",Radio,805416,NORTH WEST,Jigawa,Jigawa,100%,,,,69%,31%,,10%,8%,34%,41%,8%,,10%,4%,13%,53%,20%,,75%,22%,3%,,31%,45%,16%,8%,,50%,19%,11%,16%,0%,4%,0%,,3%,97%,0%,,15%,41%,24%,17%,3%,,News,61%,Religious Programme,29%,,03:00 - 06:00 pm,30%,09:00 - 12:00 noon,28%
"Horizon 100.5 FM, Dutse",Radio,1243822,NORTH WEST,Jigawa,Jigawa,100%,,,,61%,39%,,10%,6%,36%,43%,6%,,6%,8%,6%,59%,21%,,71%,24%,5%,,29%,54%,10%,7%,,51%,25%,16%,5%,3%,0%,0%,,2%,98%,0%,,17%,36%,26%,20%,1%,,News,62%,Educational,32%,,06:00 - 09:00 pm,34%,12:00 - 03:00 pm,21%
Dutse New World 95.5 FM,Radio,1303184,NORTH WEST,Jigawa,Jigawa,100%,,,,60%,40%,,16%,7%,34%,38%,4%,,6%,2%,7%,63%,22%,,73%,22%,5%,,38%,47%,10%,5%,,62%,14%,15%,6%,3%,0%,0%,,1%,99%,0%,,16%,27%,34%,22%,1%,,News,58%,Educational,32%,,09:00 - 12:00 noon,28%,06:00 - 09:00 pm,27%
Sawaba 104.9FM Hadeja Jigawa,Radio,176583,NORTH WEST,Jigawa,Jigawa,100%,,,,48%,52%,,7%,8%,37%,42%,6%,,10%,13%,12%,47%,18%,,77%,23%,0%,,27%,56%,10%,7%,,50%,10%,17%,7%,16%,0%,0%,,0%,100%,0%,,6%,50%,23%,17%,4%,,News,76%,Musicals,33%,,03:00 - 06:00 pm,34%,06:00 - 09:00 pm,26%
"KSMC AM, Kaduna",Radio,138921,NORTH WEST,Kaduna,Kaduna,100%,,,,47%,53%,,20%,7%,23%,42%,9%,,0%,18%,19%,18%,45%,,63%,37%,0%,,46%,18%,28%,8%,,12%,0%,26%,0%,0%,0%,62%,,72%,28%,0%,,9%,55%,27%,9%,0%,,News,85%,Religious Programme,58%,,06:00 - 09:00 am,51%,12:00 - 03:00 pm,25%
"Capital Sound FM/KSMC 90.9 FM, Kaduna",Radio,567093,NORTH WEST,Kaduna,Kaduna,100%,,,,44%,56%,,15%,5%,36%,42%,2%,,9%,29%,18%,16%,28%,,64%,33%,3%,,33%,22%,31%,14%,,3%,9%,20%,3%,6%,0%,59%,,58%,42%,0%,,9%,53%,25%,13%,0%,,News,61%,Talk Show,50%,,06:00 - 09:00 am,57%,12:00 - 03:00 pm,15%
"RayPower 106.5 FM, Kaduna",Radio,228010,NORTH WEST,Kaduna,Kaduna,100%,,,,52%,48%,,7%,3%,50%,34%,6%,,0%,11%,33%,23%,33%,,68%,32%,0%,,11%,72%,6%,11%,,6%,6%,31%,0%,0%,0%,57%,,45%,55%,0%,,5%,51%,16%,21%,7%,,News,92%,Religious Programme,33%,,06:00 - 09:00 am,48%,12:00 - 03:00 pm,26%
"Kada 89.9 FM, Kaduna",Radio,62079,NORTH WEST,Kaduna,Kaduna,100%,,,,21%,79%,,29%,10%,20%,20%,21%,,21%,20%,20%,0%,39%,,100%,0%,0%,,39%,20%,20%,21%,,0%,0%,33%,0%,35%,0%,32%,,41%,59%,0%,,21%,39%,39%,0%,1%,,News,67%,Political,35%,,06:00 - 09:00 am,100%,09:00 - 12:00 noon,35%
"Karama 92.1 FM, Kaduna",Radio,178179,NORTH WEST,Kaduna,Kaduna,100%,,,,59%,41%,,0%,0%,28%,72%,0%,,21%,7%,15%,14%,43%,,93%,7%,0%,,28%,22%,28%,22%,,14%,0%,21%,7%,7%,0%,51%,,50%,50%,0%,,14%,65%,0%,21%,0%,,News,79%,Talk Show,49%,,06:00 - 09:00 am,83%,03:00 - 06:00 pm,17%
"Alheri 97.7 FM, Kaduna",Radio,675133,NORTH WEST,Kaduna,Kaduna,100%,,,,60%,40%,,8%,5%,45%,41%,2%,,14%,23%,25%,19%,19%,,70%,30%,0%,,26%,26%,32%,16%,,10%,0%,19%,8%,14%,4%,45%,,45%,55%,0%,,10%,61%,12%,17%,0%,,News,78%,Talk Show,55%,,06:00 - 09:00 am,71%,03:00 - 06:00 pm,16%
"Supreme 96.1 FM, Kaduna",Radio,405351,NORTH WEST,Kaduna,Kaduna,100%,,,,52%,48%,,12%,4%,26%,55%,3%,,6%,31%,38%,12%,13%,,77%,19%,4%,,28%,25%,34%,13%,,4%,11%,34%,0%,4%,4%,43%,,59%,38%,3%,,10%,53%,19%,18%,0%,,News,55%,Talk Show,51%,,06:00 - 09:00 am,56%,09:00 - 12:00 noon,20%
"Nagarta Radio 747 HHz, Kaduna",Radio,745271,NORTH WEST,Kaduna,Kaduna,100%,,,,47%,53%,,17%,6%,30%,49%,0%,,12%,22%,34%,25%,7%,,76%,24%,0%,,25%,20%,40%,15%,,4%,2%,24%,4%,8%,2%,56%,,27%,73%,0%,,12%,41%,27%,20%,0%,,Talk Show,57%,News,51%,,06:00 - 09:00 am,64%,09:00 - 12 midnight,12%
Radio Nigeria-1 (SW),Radio,89927,NORTH WEST,Kaduna,Kaduna,100%,,,,73%,27%,,11%,4%,29%,43%,14%,,15%,29%,15%,41%,0%,,66%,34%,0%,,14%,29%,28%,29%,,0%,0%,17%,17%,0%,0%,66%,,15%,85%,0%,,30%,43%,13%,0%,14%,,Political,100%,Talk Show,100%,,06:00 - 09:00 am,100%,03:00 - 06:00 pm,67%
Radio Nigeria-2 (MW),Radio,50669,NORTH WEST,Kaduna,Kaduna,100%,,,,52%,48%,,20%,7%,12%,38%,24%,,0%,26%,26%,24%,24%,,67%,0%,33%,,50%,24%,26%,0%,,0%,33%,0%,0%,0%,0%,67%,,50%,50%,0%,,0%,50%,26%,24%,0%,,News,100%,Political,52%,,06:00 - 09:00 pm,100%,09:00 - 12 midnight,100%
Liberty Radio 91.7 Super FM Kaduna,Radio,871106,NORTH WEST,Kaduna,Kaduna,100%,,,,47%,53%,,17%,8%,30%,44%,3%,,13%,15%,41%,17%,14%,,71%,27%,2%,,28%,21%,35%,16%,,2%,2%,20%,6%,6%,4%,60%,,41%,58%,1%,,19%,37%,26%,18%,0%,,News,50%,Talk Show,50%,,06:00 - 09:00 am,67%,09:00 - 12:00 noon,15%
"Freedom Radio 92.9 FM, Kaduna",Radio,367768,NORTH WEST,Kaduna,Kaduna,100%,,,,53%,47%,,8%,3%,38%,46%,7%,,7%,28%,38%,17%,10%,,65%,31%,4%,,17%,24%,41%,18%,,0%,15%,28%,4%,0%,4%,49%,,38%,62%,0%,,11%,65%,17%,7%,0%,,News,58%,Talk Show,42%,,06:00 - 09:00 am,55%,12:00 - 03:00 pm,25%
"Queen 94.1 FM, Zaria",Radio,217437,NORTH WEST,Kaduna,Kaduna,100%,,,,66%,34%,,0%,0%,24%,66%,11%,,18%,6%,41%,12%,23%,,65%,29%,6%,,6%,35%,41%,18%,,0%,12%,42%,6%,12%,0%,28%,,47%,53%,0%,,12%,82%,6%,0%,0%,,News,75%,Talk Show,37%,,06:00 - 09:00 am,70%,8,31%
"ABU 101.1 FM, Zaria",Radio,76003,NORTH WEST,Kaduna,Kaduna,100%,,,,52%,48%,,12%,4%,17%,51%,16%,,0%,0%,51%,32%,17%,,100%,0%,0%,,32%,0%,67%,1%,,19%,0%,40%,0%,0%,0%,41%,,51%,49%,0%,,0%,68%,16%,16%,0%,,News,100%,Political,68%,,06:00 - 09:00 pm,34%,06:00 - 09:00 pm,34%
Tashar Yanci 103.1 FM Kaduna (Hausa),Radio,1014215,NORTH WEST,Kaduna,Kaduna,100%,,,,53%,47%,,10%,5%,37%,48%,0%,,9%,37%,29%,17%,8%,,67%,31%,2%,,25%,18%,35%,22%,,0%,5%,22%,10%,5%,5%,53%,,42%,58%,0%,,19%,47%,20%,14%,0%,,News,50%,Talk Show,48%,,06:00 - 09:00 am,60%,12:00 - 03:00 pm,18%
"Invicta 98.9 FM, Kaduna",Radio,1162871,NORTH WEST,Kaduna,Kaduna,100%,,,,48%,52%,,17%,8%,30%,43%,3%,,9%,11%,35%,28%,17%,,76%,24%,0%,,34%,26%,28%,12%,,2%,5%,28%,1%,5%,4%,55%,,41%,59%,0%,,10%,45%,26%,19%,0%,,News,60%,Talk Show,45%,,06:00 - 09:00 am,62%,12:00 - 03:00 pm,18%
Vision 92.5FM Kaduna,Radio,230523,NORTH WEST,Kaduna,Kaduna,100%,,,,68%,32%,,4%,1%,25%,65%,6%,,6%,17%,39%,17%,21%,,82%,18%,0%,,27%,17%,28%,28%,,0%,0%,35%,6%,0%,6%,53%,,50%,50%,0%,,28%,46%,5%,21%,0%,,News,75%,Talk Show,62%,,06:00 - 09:00 am,59%,8,21%
Salama 981FM Kafanchan,Radio,140596,NORTH WEST,Kaduna,Kaduna,100%,,,,65%,35%,,7%,2%,27%,55%,9%,,0%,45%,9%,9%,37%,,71%,29%,0%,,18%,27%,36%,19%,,10%,10%,20%,0%,0%,0%,60%,,72%,28%,0%,,18%,64%,9%,9%,0%,,News,67%,Talk Show,66%,,06:00 - 09:00 am,60%,06:00 - 09:00 pm,21%
"Dala FM 88.5, Kano",Radio,241151,NORTH WEST,Kano,Kano,100%,,,,50%,50%,,6%,9%,39%,38%,8%,,14%,0%,31%,46%,9%,,51%,49%,0%,,14%,40%,24%,22%,,34%,17%,25%,16%,8%,0%,0%,,8%,92%,0%,,22%,23%,47%,8%,0%,,Musicals,77%,News,75%,,06:00 - 09:00 am,74%,06:00 - 09:00 pm,30%
"Pyramid 103.5 FM, Kano",Radio,143647,NORTH WEST,Kano,Kano,100%,,,,72%,28%,,0%,0%,49%,51%,0%,,0%,0%,24%,50%,26%,,38%,62%,0%,,12%,64%,0%,24%,,64%,0%,36%,0%,0%,0%,0%,,0%,100%,0%,,24%,24%,24%,14%,14%,,News,81%,Musicals,39%,,03:00 - 06:00 pm,67%,06:00 - 09:00 am,67%
"Radio Kano 1, AM 729 MW",Radio,232324,NORTH WEST,Kano,Kano,100%,,,,22%,78%,,13%,4%,54%,30%,0%,,9%,17%,9%,57%,8%,,42%,58%,0%,,26%,32%,26%,16%,,69%,0%,10%,10%,10%,0%,1%,,0%,100%,0%,,34%,8%,58%,0%,0%,,News,74%,Musicals,39%,,06:00 - 09:00 pm,65%,06:00 - 09:00 am,33%
"Radio Kano II, 89.3 FM",Radio,277199,NORTH WEST,Kano,Kano,81%,Jigawa,19%,,57%,43%,,3%,1%,63%,25%,8%,,7%,4%,6%,63%,20%,,40%,60%,0%,,20%,39%,14%,27%,,75%,6%,10%,0%,8%,0%,1%,,0%,100%,0%,,39%,12%,42%,7%,0%,,News,66%,Musicals,34%,,06:00 - 09:00 pm,48%,06:00 - 09:00 am,44%
"Raypower 106.5 FM, Kano",Radio,315783,NORTH WEST,Kano,Kano,100%,,,,49%,51%,,10%,8%,52%,23%,6%,,0%,6%,18%,75%,1%,,42%,58%,0%,,18%,35%,12%,35%,,46%,20%,20%,7%,0%,0%,7%,,13%,87%,0%,,34%,16%,38%,6%,6%,,News,83%,Talk Show,63%,,06:00 - 09:00 pm,60%,06:00 - 09:00 am,48%
"Freedom Radio 99.5 FM, Kano",Radio,1537038,NORTH WEST,Kano,Kano,97%,Jigawa,3%,,48%,52%,,14%,6%,44%,33%,3%,,16%,16%,24%,36%,8%,,37%,61%,2%,,18%,33%,18%,31%,,19%,20%,21%,24%,8%,1%,7%,,14%,86%,0%,,30%,19%,44%,3%,4%,,News,89%,Musicals,44%,,06:00 - 09:00 am,56%,06:00 - 09:00 pm,54%
"ARTV (City Radio) 101.1 FM, Kano",Radio,109140,NORTH WEST,Kano,Kano,100%,,,,63%,37%,,38%,13%,26%,24%,0%,,18%,0%,32%,16%,34%,,32%,68%,0%,,34%,32%,34%,0%,,31%,32%,0%,0%,37%,0%,0%,,16%,84%,0%,,16%,0%,68%,0%,16%,,Talk Show,72%,Musicals,52%,,03:00 - 06:00 pm,37%,06:00 - 09:00 pm,32%
"Cool 96.9 FM, Kano",Radio,1415089,NORTH WEST,Kano,Kano,98%,Jigawa,2%,,38%,62%,,9%,5%,57%,28%,1%,,7%,14%,33%,37%,9%,,30%,67%,3%,,7%,43%,26%,24%,,30%,14%,23%,21%,1%,1%,10%,,7%,93%,0%,,26%,20%,46%,4%,4%,,News,75%,Musicals,57%,,06:00 - 09:00 am,57%,06:00 - 09:00 pm,54%
Wazobia 95.1 FM Kano,Radio,1627870,NORTH WEST,Kano,Kano,100%,,,,52%,48%,,18%,10%,46%,25%,1%,,15%,17%,18%,46%,4%,,35%,65%,0%,,21%,40%,21%,18%,,30%,19%,20%,18%,7%,2%,4%,,4%,96%,0%,,26%,17%,55%,1%,1%,,News,86%,Musicals,33%,,03:00 - 06:00 pm,47%,09:00 - 12:00 noon,46%
Rahma 97.3 FM Kano,Radio,746324,NORTH WEST,Kano,Kano,100%,,,,46%,54%,,14%,10%,46%,23%,7%,,12%,13%,27%,33%,15%,,26%,74%,0%,,9%,59%,15%,17%,,30%,9%,30%,19%,9%,0%,3%,,8%,90%,2%,,20%,17%,56%,0%,7%,,News,84%,Musicals,54%,,06:00 - 09:00 pm,67%,06:00 - 09:00 am,48%
"Express Radio 90.3 FM, Kano",Radio,990685,NORTH WEST,Kano,Kano,100%,,,,57%,43%,,14%,5%,56%,24%,2%,,7%,13%,37%,39%,4%,,35%,63%,2%,,13%,39%,24%,24%,,27%,13%,31%,16%,4%,2%,7%,,12%,88%,0%,,28%,9%,52%,4%,7%,,News,88%,Musicals,56%,,09:00 - 12:00 noon,54%,06:00 - 09:00 pm,53%
BUK 98.9 FM (Bayero University Kano),Radio,89077,NORTH WEST,Kano,Kano,100%,,,,77%,23%,,14%,6%,40%,40%,0%,,38%,0%,0%,61%,1%,,52%,48%,0%,,19%,20%,0%,61%,,24%,0%,28%,24%,0%,24%,0%,,0%,100%,0%,,39%,0%,39%,22%,0%,,Musicals,100%,News,100%,,09:00 - 12 midnight,,09:00 - 12 midnight,
"Arewa Radio 93.1 FM, Kano",Radio,1739818,NORTH WEST,Kano,Kano,100%,,,,52%,48%,,17%,8%,44%,29%,2%,,6%,14%,23%,45%,12%,,33%,67%,0%,,27%,33%,16%,24%,,39%,13%,20%,19%,4%,0%,5%,,9%,91%,0%,,33%,18%,45%,1%,3%,,News,91%,Musicals,37%,,06:00 - 09:00 am,60%,06:00 - 09:00 pm,51%
Guarantee Radio 94.7FM Kano,Radio,760368,NORTH WEST,Kano,Kano,100%,,,,34%,66%,,8%,3%,65%,24%,0%,,15%,13%,22%,40%,10%,,25%,75%,0%,,8%,58%,14%,20%,,42%,14%,6%,20%,14%,0%,4%,,17%,83%,0%,,24%,5%,55%,8%,8%,,News,90%,Musicals,63%,,06:00 - 09:00 pm,60%,06:00 - 09:00 am,58%
Correct 100.7FM Kano,Radio,373162,NORTH WEST,Kano,Kano,100%,,,,46%,54%,,18%,6%,41%,30%,5%,,5%,21%,39%,20%,15%,,55%,45%,0%,,30%,41%,19%,10%,,14%,13%,26%,33%,6%,0%,8%,,15%,85%,0%,,20%,32%,38%,5%,5%,,News,88%,Musicals,48%,,06:00 - 09:00 am,58%,03:00 - 06:00 pm,55%
Vision 92.5FM Kano,Radio,183772,NORTH WEST,Kano,Kano,100%,,,,56%,44%,,14%,25%,41%,19%,0%,,37%,11%,11%,41%,0%,,25%,75%,0%,,9%,61%,11%,19%,,38%,0%,0%,25%,24%,0%,13%,,11%,89%,0%,,9%,20%,60%,0%,11%,,News,100%,Musicals,65%,,06:00 - 09:00 am,100%,09:00 - 12:00 noon,77%
Aminci Radio 103.9FM Kano,Radio,261214,NORTH WEST,Kano,Kano,100%,,,,46%,54%,,17%,6%,46%,32%,0%,,0%,21%,57%,22%,0%,,39%,61%,0%,,15%,36%,16%,33%,,9%,10%,38%,27%,0%,0%,16%,,7%,93%,0%,,40%,8%,37%,8%,7%,,News,74%,Musicals,74%,,09:00 - 12:00 noon,75%,06:00 - 09:00 am,74%
"KSBC 900.72 AM, Katsina",Radio,660649,NORTH WEST,Katsina,Katsina,100%,,,,71%,29%,,11%,15%,34%,33%,8%,,19%,17%,4%,33%,27%,,59%,32%,9%,,25%,57%,18%,0%,,38%,14%,43%,4%,0%,0%,1%,,2%,98%,0%,,16%,24%,35%,11%,14%,,Educational,59%,News,57%,,09:00 - 12:00 noon,35%,03:00 - 06:00 pm,26%
"KSBC /Companion 104.5 FM, Katsina",Radio,2392187,NORTH WEST,Katsina,Katsina,100%,,,,53%,47%,,14%,11%,35%,27%,14%,,6%,5%,19%,54%,16%,,76%,20%,4%,,35%,57%,8%,0%,,45%,13%,37%,3%,1%,0%,1%,,1%,99%,0%,,17%,14%,32%,26%,11%,,Educational,63%,Religious Programme,51%,,03:00 - 06:00 pm,31%,09:00 - 12:00 noon,26%
"RayPower 106.5 FM, Katsina",Radio,747357,NORTH WEST,Katsina,Katsina,95%,Kano,5%,,46%,54%,,14%,10%,35%,30%,12%,,18%,9%,5%,47%,21%,,70%,24%,6%,,29%,62%,8%,1%,,52%,8%,35%,4%,0%,0%,1%,,2%,97%,1%,,14%,9%,38%,27%,12%,,Talk Show,57%,Educational,54%,,03:00 - 06:00 pm,30%,12:00 - 03:00 pm,22%
"Vision 92.1 FM, Katsina",Radio,3132148,NORTH WEST,Katsina,Katsina,100%,,,,53%,47%,,14%,8%,35%,29%,15%,,8%,5%,12%,55%,20%,,74%,20%,6%,,42%,53%,5%,0%,,48%,9%,36%,3%,0%,0%,4%,,2%,98%,0%,,13%,12%,36%,26%,13%,,Educational,61%,News,46%,,12:00 - 03:00 pm,31%,03:00 - 06:00 pm,28%
"Radio Kebbi 99.5, Birnin-Kebbi",Radio,931192,NORTH WEST,Kebbi,Kebbi,100%,,,,49%,51%,,24%,13%,51%,10%,1%,,4%,21%,30%,24%,21%,,11%,89%,0%,,20%,35%,39%,6%,,10%,19%,31%,19%,5%,0%,16%,,4%,95%,1%,,19%,6%,74%,1%,0%,,News,94%,Others,81%,,03:00 - 06:00 pm,33%,06:00 - 09:00 pm,27%
"Equity 103.5 FM, Birnin-Kebbi",Radio,1245973,NORTH WEST,Kebbi,Kebbi,100%,,,,52%,48%,,20%,10%,52%,14%,4%,,12%,32%,11%,26%,19%,,11%,89%,0%,,16%,27%,45%,12%,,7%,11%,52%,20%,7%,0%,3%,,11%,88%,1%,,19%,10%,69%,2%,0%,,News,85%,Others,70%,,06:00 - 09:00 pm,39%,06:00 - 09:00 am,17%
"Vision 92.9 FM, Kebbi",Radio,1677841,NORTH WEST,Kebbi,Kebbi,100%,,,,53%,47%,,22%,9%,49%,17%,2%,,10%,26%,27%,16%,21%,,10%,90%,0%,,18%,34%,42%,6%,,6%,21%,36%,20%,6%,0%,11%,,4%,95%,1%,,14%,12%,73%,1%,0%,,News,89%,Others,80%,,03:00 - 06:00 pm,32%,09:00 - 12:00 noon,28%
"RIMA 97.1 FM, Radio Sokoto",Radio,621739,NORTH WEST,Sokoto,Sokoto,100%,,,,42%,58%,,32%,12%,42%,12%,2%,,7%,41%,36%,12%,4%,,5%,92%,3%,,11%,53%,31%,5%,,8%,30%,37%,15%,6%,0%,4%,,2%,98%,0%,,14%,6%,78%,1%,1%,,News,48%,Sports,26%,,06:00 - 09:00 pm,44%,03:00 - 06:00 pm,27%
"Vision 92.1 FM, Sokoto",Radio,1314043,NORTH WEST,Sokoto,Sokoto,100%,,,,42%,58%,,37%,12%,40%,9%,3%,,14%,55%,18%,9%,4%,,7%,93%,0%,,18%,39%,34%,9%,,6%,16%,59%,10%,7%,1%,1%,,1%,99%,0%,,3%,1%,94%,0%,2%,,News,57%,Sports,25%,,03:00 - 06:00 pm,43%,06:00 - 09:00 pm,38%
"Garkuwa 95.5 FM, Sokoto",Radio,1121601,NORTH WEST,Sokoto,Sokoto,100%,,,,67%,33%,,23%,9%,44%,22%,2%,,12%,46%,21%,10%,11%,,15%,84%,1%,,17%,37%,35%,11%,,14%,12%,47%,14%,7%,1%,5%,,1%,98%,1%,,13%,12%,72%,2%,1%,,News,55%,Drama,25%,,06:00 - 09:00 pm,44%,03:00 - 06:00 pm,37%
AluYaGode 94.3FM Sokoto,Radio,715364,NORTH WEST,Sokoto,Sokoto,100%,,,,43%,57%,,15%,6%,52%,24%,3%,,14%,50%,18%,16%,2%,,6%,94%,0%,,17%,41%,29%,13%,,9%,12%,50%,12%,11%,4%,2%,,3%,97%,0%,,6%,30%,62%,0%,2%,,News,56%,Sports,35%,,03:00 - 06:00 pm,71%,06:00 - 09:00 pm,14%
Caliphate Radio 91.9FM Sokoto,Radio,627867,NORTH WEST,Sokoto,Sokoto,100%,,,,51%,49%,,40%,14%,29%,13%,3%,,13%,45%,17%,18%,7%,,14%,86%,0%,,19%,44%,28%,9%,,17%,17%,45%,9%,9%,3%,0%,,1%,98%,1%,,11%,5%,83%,0%,1%,,News,61%,Drama,24%,,03:00 - 06:00 pm,54%,06:00 - 09:00 pm,37%
Radio Zamfara,Radio,971177,NORTH WEST,Zamfara,Zamfara,100%,,,,56%,44%,,8%,5%,39%,40%,7%,,3%,31%,37%,19%,11%,,66%,30%,4%,,26%,30%,39%,5%,,3%,5%,16%,7%,8%,0%,61%,,2%,97%,1%,,10%,44%,28%,17%,1%,,Talk Show,64%,News,54%,,06:00 - 09:00 am,60%,03:00 - 06:00 pm,15%
"Pride 102.5 FM, Gusau",Radio,2909084,NORTH WEST,Zamfara,Zamfara,100%,,,,54%,46%,,14%,6%,35%,41%,6%,,2%,32%,35%,20%,11%,,75%,22%,4%,,36%,28%,32%,4%,,1%,5%,16%,7%,7%,0%,64%,,3%,97%,0%,,8%,45%,28%,19%,0%,,Talk Show,61%,News,48%,,06:00 - 09:00 am,59%,09:00 - 12:00 noon,13%
"RayPower 100.5 FM, Abuja",Radio,114136,NORTH CENTRAL,F.C.T,F.C.T,83%,Nassarawa,17%,,44%,56%,,8%,13%,16%,45%,20%,,31%,23%,26%,20%,0%,,53%,43%,4%,,10%,32%,13%,45%,,4%,18%,25%,25%,3%,7%,18%,,77%,23%,0%,,48%,20%,23%,3%,6%,,News,51%,Talk Show,39%,,06:00 - 09:00 am,34%,8,29%
"Rhythm 94.7 FM, Abuja",Radio,72557,NORTH CENTRAL,F.C.T,F.C.T,100%,,,,43%,57%,,23%,12%,31%,21%,14%,,24%,5%,46%,20%,5%,,42%,58%,0%,,20%,39%,21%,20%,,7%,0%,44%,0%,14%,0%,35%,,55%,45%,0%,,24%,16%,45%,5%,10%,,Musicals,49%,News,44%,,06:00 - 09:00 pm,39%,06:00 - 09:00 am,30%
"Aso Radio 93.5 FM, Abuja",Radio,73802,NORTH CENTRAL,F.C.T,F.C.T,100%,,,,58%,42%,,4%,10%,17%,43%,26%,,20%,20%,35%,25%,0%,,63%,37%,0%,,15%,35%,21%,30%,,10%,11%,36%,11%,6%,0%,26%,,70%,30%,0%,,46%,21%,19%,0%,14%,,News,66%,Musicals,45%,,06:00 - 09:00 am,50%,8,50%
"Cool FM, 96.9 Abuja",Radio,122956,NORTH CENTRAL,F.C.T,F.C.T,100%,,,,66%,34%,,7%,8%,26%,48%,12%,,30%,22%,42%,6%,0%,,60%,40%,0%,,9%,32%,16%,43%,,3%,7%,24%,9%,13%,6%,38%,,75%,25%,0%,,59%,27%,14%,0%,0%,,Talk Show,50%,News,43%,,06:00 - 09:00 am,40%,8,37%
"Radio Nigeria 2 (MW), Abuja",Radio,45380,NORTH CENTRAL,F.C.T,F.C.T,9%,Niger,91%,,64%,36%,,14%,5%,35%,8%,38%,,19%,36%,27%,18%,0%,,55%,22%,23%,,37%,0%,18%,45%,,45%,0%,10%,22%,23%,0%,0%,,73%,27%,0%,,28%,54%,18%,0%,0%,,Talk Show,68%,Talk Show,68%,,06:00 - 09:00 am,68%,06:00 - 09:00 pm,32%
"Hot 98.3 FM, Abuja",Radio,72557,NORTH CENTRAL,F.C.T,F.C.T,100%,,,,43%,57%,,8%,8%,35%,30%,21%,,35%,24%,21%,15%,5%,,45%,44%,11%,,10%,25%,31%,34%,,0%,22%,39%,6%,16%,0%,17%,,80%,20%,0%,,51%,15%,29%,0%,5%,,Talk Show,59%,News,50%,,06:00 - 09:00 am,35%,8,35%
"Kapital 92.9 FM, Abuja",Radio,143991,NORTH CENTRAL,F.C.T,F.C.T,76%,Niger,24%,,51%,49%,,8%,13%,31%,28%,21%,,23%,13%,41%,20%,3%,,43%,54%,3%,,10%,49%,21%,20%,,12%,18%,32%,9%,6%,0%,23%,,61%,39%,0%,,31%,21%,36%,4%,8%,,News,49%,Musicals,43%,,06:00 - 09:00 am,47%,8,33%
"Vision 92.1 FM, Abuja",Radio,72557,NORTH CENTRAL,F.C.T,F.C.T,100%,,,,43%,57%,,11%,14%,28%,43%,5%,,25%,10%,35%,19%,11%,,35%,59%,6%,,15%,35%,15%,35%,,12%,6%,24%,24%,6%,0%,28%,,74%,26%,0%,,32%,24%,30%,0%,14%,,News,58%,Musicals,55%,,8,39%,06:00 - 09:00 am,25%
"Zuma 88.5 FM, Abuja",Radio,11216,NORTH CENTRAL,F.C.T,F.C.T,100%,,,,69%,31%,,0%,0%,16%,85%,0%,,35%,0%,35%,30%,0%,,35%,65%,0%,,0%,65%,0%,35%,,0%,31%,0%,0%,35%,0%,34%,,65%,35%,0%,,35%,30%,35%,0%,0%,,News,100%,Political,69%,,06:00 - 09:00 am,53%,8,47%
"Kiss 99.9 FM, Abuja",Radio,221012,NORTH CENTRAL,F.C.T,F.C.T,31%,Niger,69%,,47%,53%,,12%,9%,26%,44%,9%,,13%,8%,35%,31%,13%,,47%,47%,6%,,9%,45%,28%,18%,,12%,39%,30%,4%,4%,0%,11%,,67%,33%,0%,,45%,26%,24%,2%,3%,,News,71%,Talk Show,40%,,8,39%,12:00 - 03:00 pm,30%
